Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Probability,Return_Risk
0,0,0,216,601,1,411.59,3,0,1,387.0,58,1,50,1,1,45.27,0.9987310064985117,High
1,1,1,281,310,0,288.88,3,3,1,31.0,68,0,84,0,0,47.79,0.997913922441437,High
2,2,2,125,119,4,390.03,5,1,0,1.4536817102137767,22,0,24,1,1,26.64,0.3220290261395961,Low
3,3,3,606,119,4,401.09,3,1,0,1.4536817102137767,40,1,95,3,1,15.37,0.0005866016607423995,Low
4,4,4,15,119,0,110.09,4,1,0,1.4536817102137767,34,0,79,2,2,16.37,0.7154783308716262,High
5,5,5,409,628,2,252.12,1,1,1,221.0,46,0,42,1,1,47.61,0.9999956705420621,High
6,6,6,148,212,1,382.89,2,3,1,66.0,25,1,46,0,0,28.49,0.9839827140780582,High
7,7,7,39,576,2,306.39,3,2,1,539.0,67,0,33,0,0,38.91,0.9973297441520916,High
8,8,8,724,631,3,302.4,5,1,1,-91.0,54,1,80,1,2,18.5,0.9999997919729349,High
9,9,9,68,383,1,294.94,3,2,1,317.0,44,1,81,0,2,45.21,0.9526808667377495,High
10,10,10,511,119,4,119.0,2,1,0,1.4536817102137767,70,0,36,0,1,8.72,0.007729247499458011,Low
11,11,11,403,119,3,480.48,4,1,0,1.4536817102137767,54,1,15,2,1,0.27,0.009513922776450082,Low
12,12,12,523,119,4,216.41,3,1,0,1.4536817102137767,66,1,9,3,2,30.26,0.0014135802689792378,Low
13,13,13,202,119,2,198.78,2,1,0,1.4536817102137767,51,1,84,3,1,36.58,0.08995029104084495,Low
14,14,14,609,119,2,146.37,4,1,0,1.4536817102137767,45,1,89,3,1,28.23,0.000777715863567946,Low
15,15,15,640,335,2,370.08,2,3,1,-303.0,24,0,20,0,2,23.99,0.9999989639069892,High
16,16,16,494,119,1,311.08,1,1,0,1.4536817102137767,52,0,75,3,2,6.66,0.0070625474823575165,Low
17,17,17,33,151,2,400.12,1,1,1,120.0,33,1,27,3,2,18.25,0.21569775060784405,Low
18,18,18,645,76,0,358.31,1,0,1,-569.0,51,0,38,3,2,11.84,0.9985214397866389,High
19,19,19,552,484,2,227.94,5,0,1,-66.0,50,0,61,1,0,43.86,0.9999715217767612,High
